"combination_id","columns","nb_columns","accuracy","error"
11,"SOG, Cargo",2,0.887162162162162,""
62,"Status, Length, Width, Draft, Cargo",5,0.877918918918919,""
56,"Length, Width, Draft, Cargo",4,0.876486486486487,""
53,"Status, Length, Width, Cargo",4,0.873378378378378,""
39,"Length, Width, Cargo",3,0.872486486486487,""
41,"Width, Draft, Cargo",3,0.867189189189189,""
58,"SOG, Status, Length, Width, Cargo",5,0.866054054054054,""
61,"SOG, Length, Width, Draft, Cargo",5,0.865945945945946,""
49,"SOG, Length, Width, Cargo",4,0.865918918918919,""
55,"Status, Width, Draft, Cargo",4,0.865243243243243,""
63,"SOG, Status, Length, Width, Draft, Cargo",6,0.864864864864865,""
28,"SOG, Length, Cargo",3,0.861783783783784,""
25,"SOG, Status, Cargo",3,0.861135135135135,""
51,"SOG, Width, Draft, Cargo",4,0.860189189189189,""
6,"Cargo",1,0.857810810810811,""
60,"SOG, Status, Width, Draft, Cargo",5,0.855648648648649,""
36,"Status, Width, Cargo",3,0.850162162162162,""
31,"SOG, Draft, Cargo",3,0.849891891891892,""
44,"SOG, Status, Length, Cargo",4,0.849540540540541,""
15,"Status, Cargo",2,0.847297297297297,""
30,"SOG, Width, Cargo",3,0.847135135135135,""
20,"Width, Cargo",2,0.844540540540541,""
40,"Length, Draft, Cargo",3,0.843972972972973,""
50,"SOG, Length, Draft, Cargo",4,0.843810810810811,""
47,"SOG, Status, Draft, Cargo",4,0.842054054054054,""
46,"SOG, Status, Width, Cargo",4,0.841324324324324,""
18,"Length, Cargo",2,0.840486486486486,""
59,"SOG, Status, Length, Draft, Cargo",5,0.839513513513514,""
37,"Status, Draft, Cargo",3,0.839351351351351,""
21,"Draft, Cargo",2,0.837513513513514,""
54,"Status, Length, Draft, Cargo",4,0.837459459459459,""
34,"Status, Length, Cargo",3,0.830405405405405,""
52,"Status, Length, Width, Draft",4,0.735351351351351,""
38,"Length, Width, Draft",3,0.73272972972973,""
48,"SOG, Length, Width, Draft",4,0.725351351351351,""
57,"SOG, Status, Length, Width, Draft",5,0.717081081081081,""
26,"SOG, Length, Width",3,0.693135135135135,""
42,"SOG, Status, Length, Width",4,0.690378378378378,""
32,"Status, Length, Width",3,0.667567567567568,""
16,"Length, Width",2,0.66372972972973,""
27,"SOG, Length, Draft",3,0.649,""
45,"SOG, Status, Width, Draft",4,0.648189189189189,""
19,"Width, Draft",2,0.642837837837838,""
35,"Status, Width, Draft",3,0.642108108108108,""
10,"SOG, Draft",2,0.637945945945946,""
29,"SOG, Width, Draft",3,0.63527027027027,""
43,"SOG, Status, Length, Draft",4,0.633675675675676,""
24,"SOG, Status, Draft",3,0.631594594594595,""
22,"SOG, Status, Length",3,0.631297297297297,""
17,"Length, Draft",2,0.611567567567568,""
8,"SOG, Length",2,0.611081081081081,""
14,"Status, Draft",2,0.609567567567568,""
5,"Draft",1,0.605081081081081,""
33,"Status, Length, Draft",3,0.600675675675676,""
4,"Width",1,0.596837837837838,""
13,"Status, Width",2,0.593243243243243,""
23,"SOG, Status, Width",3,0.589945945945946,""
12,"Status, Length",2,0.58027027027027,""
9,"SOG, Width",2,0.580054054054054,""
3,"Length",1,0.540297297297297,""
2,"Status",1,0.389621621621622,""
7,"SOG, Status",2,0.388972972972973,""
1,"SOG",1,0.379297297297297,""
