iter	Passed	Remaining
0	18	5395
1	36	5431
2	55	5462
3	73	5453
4	92	5480
5	111	5448
6	128	5386
7	146	5348
8	164	5333
9	184	5347
10	201	5306
11	219	5268
12	237	5245
13	257	5252
14	274	5223
15	293	5202
16	310	5174
17	328	5142
18	346	5120
19	363	5094
20	382	5075
21	401	5067
22	417	5030
23	435	5011
24	452	4973
25	470	4954
26	490	4955
27	507	4934
28	526	4922
29	544	4898
30	563	4887
31	582	4879
32	600	4857
33	618	4840
34	635	4812
35	652	4784
36	671	4770
37	689	4754
38	708	4744
39	727	4729
40	745	4710
41	763	4691
42	782	4677
43	800	4659
44	819	4641
45	836	4621
46	855	4606
47	873	4587
48	891	4568
49	909	4546
50	927	4527
51	945	4509
52	966	4504
53	984	4486
54	1003	4469
55	1023	4457
56	1041	4438
57	1061	4429
58	1082	4420
59	1101	4404
60	1120	4389
61	1138	4371
62	1155	4347
63	1173	4328
64	1191	4309
65	1210	4291
66	1228	4273
67	1247	4254
68	1265	4235
69	1283	4217
70	1301	4198
71	1319	4177
72	1337	4159
73	1354	4137
74	1373	4121
75	1391	4102
76	1412	4090
77	1429	4069
78	1448	4051
79	1465	4030
80	1483	4011
81	1500	3988
82	1518	3970
83	1535	3949
84	1555	3933
85	1572	3912
86	1590	3895
87	1607	3873
88	1625	3854
89	1644	3837
90	1662	3817
91	1678	3795
92	1696	3776
93	1714	3756
94	1731	3737
95	1750	3720
96	1768	3701
97	1787	3683
98	1806	3668
99	1826	3652
100	1843	3632
101	1860	3610
102	1877	3591
103	1895	3572
104	1913	3553
105	1931	3534
106	1948	3514
107	1966	3496
108	1986	3480
109	2004	3461
110	2021	3441
111	2040	3425
112	2058	3407
113	2076	3388
114	2094	3369
115	2112	3350
116	2130	3331
117	2149	3315
118	2166	3295
119	2184	3277
120	2203	3259
121	2222	3242
122	2242	3226
123	2260	3208
124	2278	3190
125	2296	3171
126	2314	3152
127	2334	3136
128	2353	3119
129	2373	3103
130	2390	3084
131	2408	3065
132	2425	3045
133	2443	3027
134	2463	3011
135	2481	2992
136	2499	2973
137	2517	2955
138	2534	2935
139	2553	2917
140	2570	2898
141	2587	2879
142	2604	2859
143	2622	2841
144	2641	2823
145	2661	2806
146	2680	2789
147	2698	2770
148	2714	2751
149	2732	2732
150	2753	2716
151	2772	2699
152	2788	2679
153	2808	2662
154	2828	2646
155	2848	2629
156	2866	2610
157	2885	2592
158	2902	2574
159	2920	2555
160	2938	2536
161	2956	2518
162	2975	2501
163	2991	2481
164	3009	2462
165	3027	2443
166	3045	2425
167	3062	2406
168	3081	2388
169	3099	2370
170	3118	2352
171	3135	2333
172	3155	2316
173	3173	2297
174	3190	2278
175	3209	2261
176	3227	2242
177	3246	2224
178	3264	2206
179	3282	2188
180	3301	2170
181	3319	2152
182	3338	2134
183	3357	2116
184	3375	2098
185	3392	2079
186	3410	2060
187	3426	2041
188	3444	2023
189	3463	2005
190	3481	1986
191	3498	1968
192	3517	1949
193	3535	1931
194	3553	1913
195	3573	1896
196	3590	1877
197	3609	1859
198	3627	1841
199	3646	1823
200	3665	1805
201	3683	1786
202	3701	1768
203	3718	1749
204	3736	1731
205	3753	1712
206	3770	1694
207	3790	1676
208	3807	1657
209	3825	1639
210	3842	1620
211	3861	1602
212	3878	1584
213	3897	1566
214	3915	1547
215	3933	1529
216	3950	1511
217	3971	1494
218	3989	1475
219	4009	1458
220	4026	1439
221	4048	1422
222	4065	1403
223	4084	1385
224	4101	1367
225	4119	1348
226	4135	1329
227	4152	1311
228	4171	1293
229	4191	1275
230	4211	1257
231	4228	1239
232	4246	1221
233	4265	1203
234	4283	1184
235	4299	1165
236	4317	1147
237	4334	1129
238	4354	1111
239	4372	1093
240	4389	1074
241	4408	1056
242	4424	1037
243	4443	1019
244	4461	1001
245	4478	983
246	4495	964
247	4512	946
248	4531	928
249	4549	909
250	4569	891
251	4589	874
252	4607	855
253	4624	837
254	4643	819
255	4660	801
256	4679	782
257	4696	764
258	4715	746
259	4732	728
260	4752	710
261	4770	691
262	4788	673
263	4805	655
264	4823	637
265	4842	618
266	4859	600
267	4877	582
268	4895	564
269	4914	546
270	4932	527
271	4951	509
272	4970	491
273	4987	473
274	5006	455
275	5022	436
276	5041	418
277	5058	400
278	5077	382
279	5095	363
280	5113	345
281	5130	327
282	5149	309
283	5167	291
284	5184	272
285	5202	254
286	5222	236
287	5241	218
288	5259	200
289	5277	181
290	5295	163
291	5313	145
292	5330	127
293	5348	109
294	5365	90
295	5382	72
296	5400	54
297	5418	36
298	5435	18
299	5452	0
